event_type,comm_t1,comm_t2,size_t1,size_t2,jaccard,month_t1,month_t2
death,0,,2,0,0.0,2024-11-30,2024-12-31
death,1,,2,0,0.0,2024-11-30,2024-12-31
death,4,,2,0,0.0,2024-11-30,2024-12-31
death,5,,2,0,0.0,2024-11-30,2024-12-31
death,7,,2,0,0.0,2024-11-30,2024-12-31
birth,,0,0,5,0.0,2024-11-30,2024-12-31
birth,,1,0,4,0.0,2024-11-30,2024-12-31
birth,,2,0,2,0.0,2024-11-30,2024-12-31
birth,,5,0,2,0.0,2024-11-30,2024-12-31
birth,,7,0,2,0.0,2024-11-30,2024-12-31
birth,,8,0,2,0.0,2024-11-30,2024-12-31
stable,2,3,2,2,1.0,2024-11-30,2024-12-31
stable,3,4,2,2,1.0,2024-11-30,2024-12-31
stable,6,6,2,2,1.0,2024-11-30,2024-12-31
death,1,,4,0,0.0,2024-12-31,2025-01-31
death,2,,2,0,0.0,2024-12-31,2025-01-31
death,5,,2,0,0.0,2024-12-31,2025-01-31
death,7,,2,0,0.0,2024-12-31,2025-01-31
birth,,2,0,2,0.0,2024-12-31,2025-01-31
birth,,3,0,2,0.0,2024-12-31,2025-01-31
shrink,0,4,5,2,0.4,2024-12-31,2025-01-31
stable,3,0,2,2,1.0,2024-12-31,2025-01-31
stable,4,1,2,2,1.0,2024-12-31,2025-01-31
stable,6,5,2,2,1.0,2024-12-31,2025-01-31
stable,8,6,2,2,1.0,2024-12-31,2025-01-31
death,1,,2,0,0.0,2025-01-31,2025-02-28
death,2,,2,0,0.0,2025-01-31,2025-02-28
death,3,,2,0,0.0,2025-01-31,2025-02-28
birth,,0,0,4,0.0,2025-01-31,2025-02-28
birth,,2,0,2,0.0,2025-01-31,2025-02-28
birth,,3,0,2,0.0,2025-01-31,2025-02-28
birth,,6,0,2,0.0,2025-01-31,2025-02-28
birth,,7,0,2,0.0,2025-01-31,2025-02-28
stable,0,1,2,2,1.0,2025-01-31,2025-02-28
stable,4,4,2,2,1.0,2025-01-31,2025-02-28
stable,5,5,2,2,1.0,2025-01-31,2025-02-28
stable,6,8,2,2,1.0,2025-01-31,2025-02-28
death,0,,4,0,0.0,2025-02-28,2025-03-31
death,2,,2,0,0.0,2025-02-28,2025-03-31
death,3,,2,0,0.0,2025-02-28,2025-03-31
death,6,,2,0,0.0,2025-02-28,2025-03-31
birth,,1,0,4,0.0,2025-02-28,2025-03-31
birth,,2,0,3,0.0,2025-02-28,2025-03-31
birth,,4,0,2,0.0,2025-02-28,2025-03-31
stable,1,5,2,2,1.0,2025-02-28,2025-03-31
growth,4,0,2,5,0.4,2025-02-28,2025-03-31
stable,5,6,2,2,1.0,2025-02-28,2025-03-31
growth,7,3,2,3,0.6666666666666666,2025-02-28,2025-03-31
stable,8,7,2,2,1.0,2025-02-28,2025-03-31
death,1,,4,0,0.0,2025-03-31,2025-04-30
death,2,,3,0,0.0,2025-03-31,2025-04-30
death,4,,2,0,0.0,2025-03-31,2025-04-30
death,6,,2,0,0.0,2025-03-31,2025-04-30
birth,,1,0,2,0.0,2025-03-31,2025-04-30
birth,,3,0,2,0.0,2025-03-31,2025-04-30
birth,,5,0,2,0.0,2025-03-31,2025-04-30
shrink,0,4,5,2,0.4,2025-03-31,2025-04-30
growth,3,0,3,5,0.6,2025-03-31,2025-04-30
stable,5,2,2,2,1.0,2025-03-31,2025-04-30
stable,7,6,2,2,1.0,2025-03-31,2025-04-30
death,1,,2,0,0.0,2025-04-30,2025-05-31
death,4,,2,0,0.0,2025-04-30,2025-05-31
death,5,,2,0,0.0,2025-04-30,2025-05-31
death,6,,2,0,0.0,2025-04-30,2025-05-31
birth,,1,0,7,0.0,2025-04-30,2025-05-31
birth,,2,0,4,0.0,2025-04-30,2025-05-31
birth,,3,0,3,0.0,2025-04-30,2025-05-31
birth,,5,0,3,0.0,2025-04-30,2025-05-31
birth,,7,0,2,0.0,2025-04-30,2025-05-31
birth,,8,0,2,0.0,2025-04-30,2025-05-31
birth,,9,0,2,0.0,2025-04-30,2025-05-31
birth,,10,0,2,0.0,2025-04-30,2025-05-31
growth,0,0,5,10,0.36363636363636365,2025-04-30,2025-05-31
growth,2,4,2,3,0.6666666666666666,2025-04-30,2025-05-31
stable,3,6,2,2,1.0,2025-04-30,2025-05-31
death,0,,10,0,0.0,2025-05-31,2025-06-30
death,1,,7,0,0.0,2025-05-31,2025-06-30
death,2,,4,0,0.0,2025-05-31,2025-06-30
death,3,,3,0,0.0,2025-05-31,2025-06-30
death,5,,3,0,0.0,2025-05-31,2025-06-30
death,7,,2,0,0.0,2025-05-31,2025-06-30
death,9,,2,0,0.0,2025-05-31,2025-06-30
death,10,,2,0,0.0,2025-05-31,2025-06-30
birth,,0,0,13,0.0,2025-05-31,2025-06-30
birth,,1,0,7,0.0,2025-05-31,2025-06-30
birth,,2,0,7,0.0,2025-05-31,2025-06-30
birth,,3,0,4,0.0,2025-05-31,2025-06-30
birth,,4,0,4,0.0,2025-05-31,2025-06-30
birth,,5,0,3,0.0,2025-05-31,2025-06-30
birth,,7,0,2,0.0,2025-05-31,2025-06-30
birth,,10,0,2,0.0,2025-05-31,2025-06-30
shrink,4,8,3,2,0.6666666666666666,2025-05-31,2025-06-30
stable,6,9,2,2,1.0,2025-05-31,2025-06-30
stable,8,6,2,2,0.3333333333333333,2025-05-31,2025-06-30
death,1,,7,0,0.0,2025-06-30,2025-07-31
death,4,,4,0,0.0,2025-06-30,2025-07-31
death,5,,3,0,0.0,2025-06-30,2025-07-31
death,6,,2,0,0.0,2025-06-30,2025-07-31
birth,,1,0,11,0.0,2025-06-30,2025-07-31
birth,,7,0,2,0.0,2025-06-30,2025-07-31
birth,,9,0,2,0.0,2025-06-30,2025-07-31
growth,0,0,13,16,0.38095238095238093,2025-06-30,2025-07-31
shrink,2,5,7,3,0.42857142857142855,2025-06-30,2025-07-31
stable,3,4,4,4,1.0,2025-06-30,2025-07-31
growth,7,3,2,5,0.4,2025-06-30,2025-07-31
stable,8,8,2,2,1.0,2025-06-30,2025-07-31
growth,9,2,2,6,0.3333333333333333,2025-06-30,2025-07-31
growth,10,6,2,3,0.6666666666666666,2025-06-30,2025-07-31
death,1,,11,0,0.0,2025-07-31,2025-08-31
death,2,,6,0,0.0,2025-07-31,2025-08-31
death,9,,2,0,0.0,2025-07-31,2025-08-31
birth,,0,0,17,0.0,2025-07-31,2025-08-31
birth,,1,0,10,0.0,2025-07-31,2025-08-31
birth,,5,0,4,0.0,2025-07-31,2025-08-31
birth,,7,0,2,0.0,2025-07-31,2025-08-31
birth,,9,0,2,0.0,2025-07-31,2025-08-31
shrink,0,2,16,7,0.35294117647058826,2025-07-31,2025-08-31
merge,"3,7",3,7,5,0.41428571428571426,2025-07-31,2025-08-31
stable,4,6,4,4,0.6,2025-07-31,2025-08-31
shrink,5,8,3,2,0.6666666666666666,2025-07-31,2025-08-31
shrink,6,10,3,2,0.6666666666666666,2025-07-31,2025-08-31
merge,"3,7",3,7,5,0.41428571428571426,2025-07-31,2025-08-31
growth,8,4,2,4,0.5,2025-07-31,2025-08-31
death,0,,17,0,0.0,2025-08-31,2025-09-30
death,1,,10,0,0.0,2025-08-31,2025-09-30
death,3,,5,0,0.0,2025-08-31,2025-09-30
death,4,,4,0,0.0,2025-08-31,2025-09-30
death,7,,2,0,0.0,2025-08-31,2025-09-30
death,9,,2,0,0.0,2025-08-31,2025-09-30
birth,,0,0,11,0.0,2025-08-31,2025-09-30
birth,,1,0,9,0.0,2025-08-31,2025-09-30
birth,,2,0,7,0.0,2025-08-31,2025-09-30
birth,,5,0,4,0.0,2025-08-31,2025-09-30
shrink,2,3,7,5,0.5,2025-08-31,2025-09-30
shrink,5,6,4,3,0.4,2025-08-31,2025-09-30
stable,6,4,4,4,0.6,2025-08-31,2025-09-30
stable,8,7,2,2,1.0,2025-08-31,2025-09-30
stable,10,8,2,2,1.0,2025-08-31,2025-09-30
death,0,,11,0,0.0,2025-09-30,2025-10-31
death,5,,4,0,0.0,2025-09-30,2025-10-31
death,8,,2,0,0.0,2025-09-30,2025-10-31
birth,,0,0,11,0.0,2025-09-30,2025-10-31
birth,,2,0,9,0.0,2025-09-30,2025-10-31
birth,,7,0,2,0.0,2025-09-30,2025-10-31
stable,1,3,9,8,0.3076923076923077,2025-09-30,2025-10-31
growth,2,1,7,9,0.6,2025-09-30,2025-10-31
growth,3,4,5,7,0.5,2025-09-30,2025-10-31
shrink,4,6,4,3,0.75,2025-09-30,2025-10-31
growth,6,5,3,5,0.3333333333333333,2025-09-30,2025-10-31
stable,7,8,2,2,1.0,2025-09-30,2025-10-31
death,0,,11,0,0.0,2025-10-31,2025-11-30
death,1,,9,0,0.0,2025-10-31,2025-11-30
death,2,,9,0,0.0,2025-10-31,2025-11-30
death,3,,8,0,0.0,2025-10-31,2025-11-30
death,4,,7,0,0.0,2025-10-31,2025-11-30
death,5,,5,0,0.0,2025-10-31,2025-11-30
death,7,,2,0,0.0,2025-10-31,2025-11-30
death,8,,2,0,0.0,2025-10-31,2025-11-30
birth,,0,0,4,0.0,2025-10-31,2025-11-30
birth,,1,0,3,0.0,2025-10-31,2025-11-30
stable,6,2,3,3,1.0,2025-10-31,2025-11-30
