node,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127
227300,0.0014621891314163804,-0.3341197967529297,-0.11789587885141373,-0.22565051913261414,0.03821749985218048,-0.34123873710632324,-0.06291881948709488,-0.03843805566430092,-0.18476006388664246,0.3779278099536896,0.5147796273231506,0.04986555874347687,-0.1793656200170517,-0.0416874960064888,-0.02948094718158245,0.04226412996649742,-0.1184295192360878,0.09515201300382614,-0.3939041495323181,0.2926543354988098,0.5332697033882141,0.19658754765987396,0.03377651050686836,0.20292171835899353,-0.13190120458602905,-0.04787774756550789,-0.629479706287384,-0.22694137692451477,0.14488962292671204,-0.26291364431381226,-0.6266353726387024,-0.22515787184238434,0.10519640147686005,0.059373464435338974,0.0939268097281456,0.40727242827415466,0.6733887195587158,-0.10761361569166183,0.663427472114563,0.39559122920036316,0.25341537594795227,0.04747578874230385,0.3203650712966919,-0.1916779726743698,-0.367613285779953,0.3273921012878418,0.020480770617723465,-0.3423009514808655,0.14387817680835724,-0.3317050635814667,0.3817988932132721,0.13708680868148804,0.3495219945907593,-0.20160239934921265,0.3577195405960083,0.422228068113327,0.3702091872692108,-0.3773912191390991,0.06672342866659164,-0.009325403720140457,0.46452054381370544,-0.39276123046875,-0.12610167264938354,0.4434359669685364,0.19489914178848267,-0.1908869743347168,0.7079011797904968,0.36088645458221436,-0.15545183420181274,-0.14040592312812805,0.2536846995353699,-0.01447068527340889,-0.2645910680294037,-0.06506465375423431,-0.13599418103694916,-0.33188268542289734,-0.2580409049987793,-0.03381058946251869,0.3436788022518158,0.6414868831634521,0.25435587763786316,-0.34820622205734253,-0.010535979643464088,0.6098638772964478,0.09194626659154892,0.4357711672782898,0.20552173256874084,0.09072977304458618,0.3707658350467682,0.27535557746887207,0.1408928781747818,0.03652230277657509,-0.2267177253961563,0.052747003734111786,0.43399176001548767,-0.2049902230501175,-0.8011524677276611,-0.5943765640258789,-0.17855238914489746,-0.13042238354682922,-0.07963233441114426,0.3827762305736542,0.20540055632591248,-0.05650869011878967,0.059158843010663986,0.07451585680246353,0.4120531976222992,-0.3945109248161316,0.18033526837825775,-0.40061256289482117,0.04549313336610794,0.19052140414714813,0.1159810945391655,-0.3044114410877228,0.21008241176605225,-0.1825551688671112,-0.3092411756515503,0.5556083917617798,0.06071369722485542,-0.0006219890201464295,-0.2303958386182785,0.1262408345937729,-0.34890854358673096,0.24878956377506256,-0.2793785035610199,0.0010779445292428136,-0.07075965404510498,0.08775073289871216
270880,9.473903628531843e-05,-0.33517247438430786,-0.08175331354141235,-0.22468042373657227,0.02357448823750019,-0.35904863476753235,-0.08430948108434677,-0.036905013024806976,-0.17567682266235352,0.36629247665405273,0.5396193861961365,0.04610297828912735,-0.16033360362052917,-0.05259890481829643,-0.0399140901863575,0.020653098821640015,-0.1339016854763031,0.11044138669967651,-0.39285051822662354,0.29078614711761475,0.5279189944267273,0.1961083710193634,0.025884956121444702,0.19809243083000183,-0.14723891019821167,-0.03414490446448326,-0.6493530869483948,-0.2324271947145462,0.12590843439102173,-0.24392575025558472,-0.6291251182556152,-0.20953842997550964,0.09292355924844742,0.06617564707994461,0.12586361169815063,0.3923240005970001,0.6726834177970886,-0.10401929914951324,0.6597773432731628,0.3960095942020416,0.24465520679950714,0.06480510532855988,0.31300830841064453,-0.17318442463874817,-0.35863006114959717,0.3121379017829895,0.023279454559087753,-0.3426750898361206,0.1471482217311859,-0.32609838247299194,0.39865079522132874,0.12978172302246094,0.33551862835884094,-0.19891314208507538,0.3588528037071228,0.42624855041503906,0.3674717843532562,-0.3691338002681732,0.0491519421339035,0.006438099313527346,0.46296074986457825,-0.4055730104446411,-0.11826809495687485,0.4298834502696991,0.20354630053043365,-0.2020675241947174,0.7012439370155334,0.35232412815093994,-0.11876088380813599,-0.15016955137252808,0.23897726833820343,-0.02869279868900776,-0.27968254685401917,-0.08609049767255783,-0.13903188705444336,-0.339703232049942,-0.2242354154586792,-0.033479467034339905,0.3383570611476898,0.6395398378372192,0.23628142476081848,-0.3432464301586151,0.020211128517985344,0.6194331049919128,0.08609389513731003,0.4403808116912842,0.20624801516532898,0.09802110493183136,0.3592158854007721,0.2914590537548065,0.12863659858703613,0.049623001366853714,-0.25262367725372314,0.06259920448064804,0.44898805022239685,-0.2127191126346588,-0.8100470304489136,-0.5963760018348694,-0.1655532419681549,-0.13615618646144867,-0.1037311851978302,0.35749730467796326,0.21678036451339722,-0.05635201930999756,0.042837318032979965,0.07623042911291122,0.4038983881473541,-0.3999291658401489,0.174134761095047,-0.40592050552368164,0.05927306041121483,0.17826756834983826,0.12390527874231339,-0.2894884943962097,0.19101272523403168,-0.17708474397659302,-0.3259839117527008,0.5440815687179565,0.05571717023849487,0.010042689740657806,-0.2368164211511612,0.11340062320232391,-0.33584725856781006,0.23551452159881592,-0.2813968062400818,-0.005076487548649311,-0.08939686417579651,0.0921115055680275
255710,0.046349044889211655,0.08762925863265991,0.49256160855293274,-0.07430566847324371,-0.4232608675956726,-0.38005027174949646,0.08930020034313202,0.18622922897338867,0.1945081651210785,0.14671050012111664,0.6623556017875671,0.011509712785482407,0.09466381371021271,-0.1284821331501007,-0.6021086573600769,-0.0985977053642273,-0.21927353739738464,0.26297107338905334,-0.20852288603782654,-0.29868191480636597,0.37166085839271545,0.2528837025165558,0.5333784818649292,-0.12409046292304993,-0.01955125853419304,0.1792805790901184,-0.36692240834236145,0.03682512789964676,0.27073973417282104,0.051936425268650055,-0.6905654072761536,0.3817290663719177,-0.206809863448143,-0.1641271859407425,0.024792423471808434,0.10137543827295303,0.8390858769416809,0.3129943609237671,0.5459842681884766,-0.36821216344833374,0.06775808334350586,0.3849446475505829,-0.3098788857460022,-0.4302475154399872,0.3229166567325592,0.1701176017522812,-0.36466875672340393,-0.3759329915046692,-0.1377163529396057,0.17228391766548157,0.138975590467453,0.023965509608387947,-0.25582101941108704,0.1131892278790474,0.5159545540809631,-0.12645195424556732,0.47052326798439026,-0.2703113853931427,-0.22432439029216766,-0.21446500718593597,0.05779900401830673,-0.34464770555496216,0.053687844425439835,-0.10055390745401382,0.09369996190071106,-0.18080563843250275,0.18365012109279633,0.14853639900684357,0.12120679020881653,-0.19297181069850922,-0.05555979534983635,0.4181792140007019,-0.29886817932128906,-0.008862665854394436,-0.27151328325271606,-0.08323223888874054,0.4708624482154846,0.40830299258232117,-0.053624872118234634,0.18066471815109253,-0.2827414274215698,0.22363264858722687,0.1949656456708908,0.2079337239265442,0.15978482365608215,0.19124847650527954,0.5635743737220764,-0.24383188784122467,0.2497606873512268,0.7321937084197998,-0.3023160994052887,-0.13989685475826263,-0.31496119499206543,-0.22463320195674896,0.4274117052555084,-0.1359274834394455,-0.45388928055763245,-0.4584154188632965,0.24447527527809143,0.2805309295654297,-0.471773624420166,0.4166434705257416,0.20022493600845337,0.03034146875143051,0.24308809638023376,-0.2500191926956177,-0.15400856733322144,-0.13302099704742432,-0.21235693991184235,-0.23830173909664154,0.11721740663051605,-0.19326265156269073,-0.24536211788654327,0.21096330881118774,0.03858356922864914,0.3973143398761749,0.17362137138843536,0.5717484951019287,0.07619937509298325,0.3496234714984894,0.18559305369853973,-0.24684201180934906,0.036270733922719955,-0.2691400349140167,0.09851215034723282,-0.29371345043182373,-0.6642336845397949,0.08452080935239792
949230,0.03833787888288498,0.07258784025907516,0.49894893169403076,-0.06414595991373062,-0.44901105761528015,-0.3784453570842743,0.09186544269323349,0.18215638399124146,0.162151038646698,0.11751480400562286,0.6590176224708557,0.0004671017231885344,0.06351681053638458,-0.10663904249668121,-0.6032090783119202,-0.11315823346376419,-0.20815666019916534,0.2448674738407135,-0.21845966577529907,-0.3345572352409363,0.3695361912250519,0.2503918707370758,0.5371056199073792,-0.10773567110300064,-0.00013896854943595827,0.17908738553524017,-0.3543030023574829,0.03520644083619118,0.24129435420036316,0.02312975935637951,-0.6966349482536316,0.36493727564811707,-0.1890505999326706,-0.18258649110794067,0.03817462921142578,0.10602676123380661,0.8367213010787964,0.29681357741355896,0.5221691727638245,-0.3766860365867615,0.051946211606264114,0.38233718276023865,-0.33698686957359314,-0.4125058352947235,0.33529913425445557,0.15431004762649536,-0.37049344182014465,-0.35630565881729126,-0.11960531026124954,0.1897512525320053,0.11198589205741882,0.03642871603369713,-0.25877299904823303,0.11253288388252258,0.5201447010040283,-0.13630108535289764,0.46512600779533386,-0.27813053131103516,-0.22588694095611572,-0.17921623587608337,0.06037729233503342,-0.33545833826065063,0.05747518688440323,-0.10224119573831558,0.07250725477933884,-0.1552564650774002,0.17321714758872986,0.15167288482189178,0.11123303323984146,-0.19633859395980835,-0.029379986226558685,0.4040803611278534,-0.29834282398223877,-0.038394518196582794,-0.2540602684020996,-0.0627393051981926,0.47256574034690857,0.38777822256088257,-0.047726210206747055,0.1465441882610321,-0.2768400013446808,0.23003612458705902,0.2238188087940216,0.22474339604377747,0.12873555719852448,0.18490615487098694,0.5527119636535645,-0.2491278499364853,0.2348746806383133,0.7170410752296448,-0.29748156666755676,-0.1247054785490036,-0.2868821918964386,-0.21348392963409424,0.44264090061187744,-0.10775938630104065,-0.47186776995658875,-0.448858380317688,0.23238269984722137,0.29088345170021057,-0.4727848470211029,0.42431050539016724,0.19810733199119568,0.062211133539676666,0.27964773774147034,-0.2530548572540283,-0.14622868597507477,-0.12739551067352295,-0.213059663772583,-0.2546963691711426,0.11052991449832916,-0.2107660323381424,-0.24435214698314667,0.21437425911426544,0.04012022167444229,0.4085506498813629,0.19023174047470093,0.5681806802749634,0.0671922117471695,0.3533035218715668,0.20322327315807343,-0.24344179034233093,0.04278746619820595,-0.27574390172958374,0.11291427165269852,-0.28651535511016846,-0.6651136875152588,0.09518466889858246
257510,0.11600109189748764,-0.22322843968868256,0.16081005334854126,-0.12300537526607513,-0.3477691113948822,-0.2170662134885788,-0.0857442319393158,-0.017951348796486855,0.18471309542655945,0.06389133632183075,0.246018186211586,-0.313331663608551,0.40972357988357544,-0.08206340670585632,0.07626359909772873,-0.12176492065191269,-0.06944549083709717,0.30834028124809265,0.11774740368127823,0.1888880878686905,-0.031830813735723495,0.14156313240528107,-0.5255388617515564,0.021046102046966553,-0.25912395119667053,-0.2967259883880615,-0.5723617672920227,-0.7460026741027832,0.2444789558649063,0.18626733124256134,-0.3728923797607422,0.4625249207019806,-0.09338060021400452,-0.19703179597854614,0.5704467296600342,0.4724538028240204,0.5590749979019165,0.46142587065696716,0.02724117785692215,-0.2000609040260315,0.26462990045547485,0.17974135279655457,0.36471325159072876,0.3258425295352936,0.3528711497783661,-0.07625315338373184,-0.4397234320640564,-0.6221288442611694,0.3312702476978302,0.3283929228782654,0.39266282320022583,0.2736366391181946,0.15510281920433044,-0.43853744864463806,0.261181116104126,0.28186604380607605,0.017523007467389107,0.41488805413246155,-0.0536910817027092,-0.18162788450717926,-0.0514334999024868,-0.2517879009246826,-0.014962732791900635,0.05610434710979462,0.16353069245815277,-0.27797773480415344,0.04336180165410042,-0.31441015005111694,0.4704798460006714,-0.14700910449028015,0.09874917566776276,0.1524835228919983,-0.5114850997924805,0.19036833941936493,-0.05269249528646469,-0.2538924515247345,0.2660467326641083,0.19529429078102112,0.23144783079624176,0.6444757580757141,0.08222979307174683,-0.10975965857505798,0.3902260363101959,0.34644919633865356,0.36033394932746887,0.22348558902740479,0.37374910712242126,0.030810043215751648,0.24672052264213562,0.3061656057834625,-0.22655966877937317,0.1655486822128296,-0.5851411819458008,0.14852868020534515,0.4401441514492035,0.42168644070625305,-0.4564654231071472,-0.05658821389079094,-0.14163346588611603,-0.12324734032154083,0.005121573340147734,0.13407371938228607,-0.024908285588026047,-0.09883830696344376,0.058895908296108246,0.3287399411201477,0.12451466917991638,-0.08601303398609161,-0.23681947588920593,-0.054433468729257584,0.4280869960784912,0.37312769889831543,0.07544844597578049,0.12597569823265076,-0.43903017044067383,-0.2845948338508606,-0.1513243019580841,-0.01568247377872467,-0.14464148879051208,0.8357065916061401,0.33724263310432434,-0.05594595894217491,-0.28517764806747437,-0.3223745822906494,0.3721267282962799,0.18340128660202026,-0.1325424760580063,0.43211737275123596
835960,0.14416742324829102,-0.24933552742004395,0.18248942494392395,-0.15137764811515808,-0.3623717427253723,-0.24813874065876007,-0.10372645407915115,0.007282942533493042,0.21504341065883636,0.056679729372262955,0.2533891201019287,-0.3204474151134491,0.4233415424823761,-0.06655225157737732,0.06687720119953156,-0.12057849019765854,-0.09384535998106003,0.3109361529350281,0.10978540033102036,0.18698473274707794,0.009964432567358017,0.1315772831439972,-0.5351741313934326,0.013080892153084278,-0.2566651403903961,-0.30992358922958374,-0.5872868895530701,-0.7603290677070618,0.2773434817790985,0.1942279189825058,-0.38012683391571045,0.468962699174881,-0.07235342264175415,-0.1963309347629547,0.5820240378379822,0.4951569437980652,0.5804969072341919,0.4748436510562897,0.029567968100309372,-0.19446198642253876,0.26145750284194946,0.18607944250106812,0.3763973116874695,0.3264564573764801,0.3584829568862915,-0.08601567894220352,-0.43747174739837646,-0.6384267210960388,0.34988704323768616,0.3301253020763397,0.3814042806625366,0.2908707559108734,0.13724078238010406,-0.4480856657028198,0.27331069111824036,0.30157211422920227,0.04133369401097298,0.4267238676548004,-0.05741946026682854,-0.20048195123672485,-0.047940533608198166,-0.2661140561103821,-0.028597641736268997,0.038103457540273666,0.1893141269683838,-0.2713961899280548,0.05450187623500824,-0.3246476352214813,0.4791446924209595,-0.13963955640792847,0.10863978415727615,0.15391476452350616,-0.5325557589530945,0.19849830865859985,-0.04207099974155426,-0.28524792194366455,0.2626579999923706,0.19480061531066895,0.2621249258518219,0.6586472392082214,0.08038618415594101,-0.13978758454322815,0.40363192558288574,0.36025920510292053,0.37501442432403564,0.2483828216791153,0.3736414909362793,0.01409841701388359,0.2512044906616211,0.3239160180091858,-0.23347187042236328,0.18867257237434387,-0.5890127420425415,0.16275712847709656,0.4424252212047577,0.4350731372833252,-0.4780427813529968,-0.07913929224014282,-0.162362739443779,-0.11286203563213348,-0.01714295707643032,0.17359666526317596,-0.03825386241078377,-0.11798550188541412,0.050219498574733734,0.3398960828781128,0.11113175749778748,-0.11420822143554688,-0.25819793343544006,-0.04567903280258179,0.420463889837265,0.37615951895713806,0.0611601322889328,0.1327274590730667,-0.43628811836242676,-0.28904053568840027,-0.16020803153514862,-0.005611323285847902,-0.14552189409732819,0.839353084564209,0.3284705877304077,-0.07787610590457916,-0.30385667085647583,-0.33199676871299744,0.3702886700630188,0.20581944286823273,-0.13916940987110138,0.4497564136981964
264710,0.13033708930015564,0.033339742571115494,-0.2588939368724823,0.028619321063160896,-0.3993043601512909,0.1772278994321823,-0.1473752111196518,-0.5230609774589539,0.4891000986099243,0.16240476071834564,-0.2551419138908386,-0.3430769145488739,0.3195866048336029,-0.211517333984375,-0.32246947288513184,0.4943620264530182,-0.500592827796936,-0.2872638702392578,-0.26688483357429504,-0.25681349635124207,0.08530448377132416,0.5746188759803772,0.2702884376049042,0.4529963433742523,-0.07197020947933197,0.24498727917671204,0.0042174640111625195,-0.45720115303993225,0.401317298412323,-0.04438979551196098,-0.6280413269996643,-0.19424684345722198,-0.31493547558784485,-0.3151754140853882,0.04242648556828499,0.673373281955719,0.5071788430213928,0.1623631715774536,0.6218010187149048,-0.13140632212162018,-0.14152982831001282,-0.32008349895477295,0.04957781359553337,-0.15276581048965454,0.1509968638420105,0.2800162136554718,-0.25326985120773315,-0.518855094909668,-0.2727506756782532,-0.19146688282489777,0.16502997279167175,0.1579599529504776,0.1701580137014389,-0.1580483764410019,-0.31595343351364136,0.1742330640554428,0.5023251175880432,0.17649754881858826,-0.329131543636322,-0.3629313111305237,-0.3563058376312256,-0.030814040452241898,0.18228064477443695,0.30016812682151794,0.25173377990722656,-0.07190782576799393,0.299952894449234,-0.28202882409095764,0.07671158760786057,-0.12973222136497498,0.21572092175483704,0.2828961908817291,-0.6093448400497437,0.65597003698349,-0.3050280511379242,-0.22240757942199707,-0.35118240118026733,0.5071620941162109,0.4299170970916748,0.5187221169471741,0.19632183015346527,0.012510946951806545,0.21766376495361328,0.2880091369152069,0.06542839109897614,0.28799712657928467,-0.1533917933702469,-0.06455074995756149,0.19336946308612823,0.025036053732037544,0.11297018826007843,0.11224515736103058,0.28208377957344055,0.0973336324095726,0.2879040539264679,-0.14331790804862976,-0.4148061275482178,-0.04116489365696907,-0.07148051261901855,-0.16005375981330872,0.09907767176628113,0.34548866748809814,-0.4220128059387207,0.41789373755455017,0.14669646322727203,-0.24011343717575073,0.2681371569633484,-0.14952439069747925,-0.26081007719039917,-0.05767619237303734,0.1450391709804535,-0.17361409962177277,-0.09379022568464279,0.33038201928138733,0.005048174876719713,-0.09278763085603714,0.013843497261404991,0.3009171485900879,0.17036138474941254,0.4396231174468994,0.42423662543296814,-0.1599060744047165,-0.3754299283027649,0.3456539213657379,0.2583616077899933,-0.5286920666694641,-0.45443350076675415,-0.15878376364707947
