strategy,mean_size,std_size,mean_depth,propagation_rate,sims,model,base_p,min_p,max_p,alpha,weight_scale,weight_shift,max_steps,lt_threshold,prob_map,edge_weight_key,metadata,month
ic_aggressive,6.433333333333334,0.6283745587862017,0.36,0.36,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
ic_balanced,6.36,0.5468641537754727,0.32666666666666666,0.32666666666666666,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-11-30
lt_responsive,8.0,0.0,1.0,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2024-11-30
ic_aggressive,10.106666666666667,0.8834546790992571,0.7266666666666667,0.7266666666666667,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
ic_balanced,9.8,0.874700332194369,0.54,0.54,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2024-12-31
lt_responsive,13.0,0.0,1.0,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2024-12-31
ic_aggressive,6.846666666666667,1.0410156802529142,0.9066666666666666,0.9066666666666666,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-01-31
ic_balanced,6.193333333333333,0.9390604090800364,0.7266666666666667,0.7266666666666667,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-01-31
lt_responsive,10.0,0.0,1.0,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-01-31
ic_aggressive,5.6466666666666665,0.7697002525315967,0.54,0.48,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-02-28
ic_balanced,5.453333333333333,0.7102950201570862,0.37333333333333335,0.34,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-02-28
lt_responsive,8.0,0.0,2.0,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-02-28
ic_aggressive,6.993333333333333,1.217857435737353,1.02,0.9,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-03-31
ic_balanced,6.333333333333333,1.1739148447139685,0.78,0.7266666666666667,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-03-31
lt_responsive,12.0,0.0,2.0,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-03-31
ic_aggressive,6.493333333333333,0.9029903094061595,0.86,0.86,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-04-30
ic_balanced,5.94,0.8452790333938858,0.6466666666666666,0.6466666666666666,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-04-30
lt_responsive,9.0,0.0,1.0,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-04-30
ic_aggressive,15.153333333333334,1.985641974077151,1.56,0.94,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
ic_balanced,13.906666666666666,1.5515597982695553,1.1266666666666667,0.8333333333333334,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-05-31
lt_responsive,29.033333333333335,2.6302746090504807,5.56,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-05-31
ic_aggressive,21.753333333333334,3.140847290178833,2.2466666666666666,0.9866666666666667,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-06-30
ic_balanced,18.946666666666665,2.476159254418796,1.7666666666666666,0.9866666666666667,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-06-30
lt_responsive,34.21333333333333,2.8745274876760027,4.153333333333333,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-06-30
ic_aggressive,16.066666666666666,4.973306823495449,3.16,0.98,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-07-31
ic_balanced,12.513333333333334,3.488690580816833,2.1866666666666665,0.92,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-07-31
lt_responsive,41.52,5.574053023975818,7.926666666666667,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-07-31
ic_aggressive,26.14,3.5785153083479377,3.026666666666667,1.0,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-08-31
ic_balanced,22.033333333333335,3.3786075259369315,2.433333333333333,1.0,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-08-31
lt_responsive,52.76,0.7298064467133946,5.1466666666666665,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-08-31
ic_aggressive,21.826666666666668,3.473285713345856,3.006666666666667,1.0,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-09-30
ic_balanced,17.846666666666668,3.29477248487196,2.3333333333333335,0.9866666666666667,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-09-30
lt_responsive,41.32666666666667,2.547525886654882,4.84,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-09-30
ic_aggressive,30.613333333333333,3.8017775190364005,3.7133333333333334,1.0,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-10-31
ic_balanced,24.0,4.148259115734596,2.7666666666666666,1.0,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-10-31
lt_responsive,52.013333333333335,0.1632993161855454,5.306666666666667,1.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-10-31
ic_aggressive,0.0,0.0,0.0,0.0,150,ic,0.18,0.01,0.9,4.0,14.0,0.5,8,0.35,sigmoid,weight,{},2025-11-30
ic_balanced,0.0,0.0,0.0,0.0,150,ic,0.12,0.01,0.75,4.0,9.0,0.5,8,0.35,sigmoid,weight,{},2025-11-30
lt_responsive,0.0,0.0,0.0,0.0,150,lt,0.1,0.01,0.85,4.0,10.0,0.5,10,0.3,sigmoid,weight,{},2025-11-30
